,tweet
0,"@Justin_Ling @vicecanada @ShannonStubbsMP This article is absolute rubbish. We all agree with the comments Shannon Stub actually  made, that the at-risk elderly and front line workers should receive vaccinations BEFORE inmates. Not that inmates shouldn’t receive vaccines. Predictable fake news from Vice."
1,"BBC Fake news outlet needs cancelling and defunding and dismantling

BBC’s Bateman fails to unravel Coronavirus vaccinations canard https://t.co/Vze73ExBk3 via @UKMediaWatch"
2,"Okay so I'm spreading fake news, it's not even vaccinations and it's in England 🤡🤡🤡"
3,@CJBowden1 @risetoflyy Got an educated guess to how long?  I imagine the new fake war on terror will force the hand of vaccinations of every major business.
4,I need a couple of vaccinations. One for Covid and one against the forces of evil - Bill Walton  😂😂😂
5,"Hey Fake News ⁦@njdotcom⁩, are you going to ask Crazy Phil why he is not getting the vaccine??  ⁦⁦@GovMurphy⁩

N.J. has administered more than 200,000 COVID vaccinations, Gov. Murphy announces https://t.co/dr6V27krxf https://t.co/ARcfzvtzsS"
6,Vaccinations cause lizard-morphing! Don’t vaccinate!  The New York Times is a conspiracy of lies--just fake news pies!
7,I think they are attention seekers. I saw one the other day they were dressed as nurses at an apparent drive through doing vaccinations looked believable at first there were about six of them.  It was fake.  There’s some sick people on Twitter. https://t.co/9rwbSy8gqH
8,"@Aw_what @DrDomPimenta They are a bunch of lying fantasists, exploiting the naive and  those economically disadvantaged by this terrible plague. If Yeadon went round selling fake vaccinations to pensioners he would be doing less damage."
9,"@nadhimzahawi @RoyalFamily Is this because the Royal Family have been vaccinated, or you’ve managed to buy shared in companies making the vaccinations? #warrenmedical"
10,"@Jack_Native @RealJGutter @SenKamalaHarris The federal government didn't overstep when it eradicated small pox with mandatory vaccinations.   A 100 year pandemic that half the country thinks is fake, it might be time for a little consequence."
11,"@cactus12345 @TruthLion100 @stephen_taylor Not only that, the vaccine won’t last long....ask Gates?  I have the same medical degree as him....and he’s selling vaccines to the world...his philanthropy is fake... it’s terminal lockdowns, masking.and repeat vaccinations"
12,"@Inserm 
#vaccins  et #vaccinations 
Un bénéfice individuel et collectif . La #vaccination  consiste à protéger un individu contre une maladie en stimulant son système immunitaire.
https://t.co/evGGzDAYiB"
13,So all that $$$ Big Pharmaceuticals make off PEOPLE &amp; FAKE ass Hospital Insurance claims that fall short of delivering Great care &amp; meds with outlandish over market PRICES! Big Pharma can’t pitch in &amp; assist in the COVID19 VACCINATIONS? Politicians stake their life on big Pharma! https://t.co/nuRdaPqgO1
14,"@saket71 Govt is busy saving fake ones around
Forget vaccinations."
15,"@RepubsAreDone What do you think the ""fake"" vaccinations are for?  It is happening now."
16,@thatandreabrown @RonDeSantisFL @SenRickScott I think those are fake vials and want a full 10 day investigation to make sure they are free and fair vaccinations. Of course it is taking longer than that to get them. But thank you @cvspharmacy https://t.co/IfJOiQIMW6
17,Be ScamAware - see below of details of a fake text offering Coronavirus vaccinations. https://t.co/5kaoVbQeAY
18,@piersmorgan Just had our local councillor Facebook on to inform us that 100s vaccinations completed and everything going well in so far - must be Fake News it’s optimistic👏👏
